cells,taxagroup,T2Mexp
11731,mammals,0
11732,birds,0
11732,mammals,0
11733,birds,0
11733,mammals,0
11734,birds,0
11734,mammals,0
11735,birds,0
11735,mammals,0
11736,birds,0
11736,mammals,0
11737,birds,0
11737,mammals,0
11738,birds,0
11738,mammals,0
11739,birds,0
11739,mammals,0
11740,birds,0
11740,mammals,0
11741,birds,0
11741,mammals,0
11742,birds,0
11742,mammals,0
11743,birds,0
11743,mammals,0
11744,birds,0
11744,mammals,0
11745,birds,0
11745,mammals,0
11746,birds,0
11746,mammals,0
11747,birds,0
11747,mammals,0
11756,birds,0
11756,mammals,0
11758,mammals,0
11759,mammals,0
11760,mammals,0
11761,mammals,0
11762,mammals,0
11763,mammals,0
11764,mammals,0
11765,mammals,0
11766,mammals,0
11767,mammals,0
11768,mammals,0
11769,mammals,0
11770,mammals,0
11771,mammals,0
11772,mammals,0
11773,mammals,0
11774,mammals,0
11775,mammals,0
11776,mammals,0
11777,mammals,0
11778,mammals,0
11779,mammals,0
11780,mammals,0
11781,mammals,0
11782,mammals,0
11783,mammals,0
11784,mammals,0
11785,mammals,0
11786,mammals,0
11787,mammals,0
11788,mammals,0
11789,mammals,0
11790,mammals,0
11791,mammals,0
11792,mammals,0
11793,mammals,0
11794,mammals,0
11795,mammals,0
11796,mammals,0
11797,mammals,0
11798,mammals,0
11799,mammals,0
11800,mammals,0
11801,mammals,0
11802,mammals,0
11803,mammals,0
11804,mammals,0
11805,mammals,0
11806,mammals,0
11807,mammals,0
11808,mammals,0
11809,mammals,0
11810,mammals,0
11811,mammals,0
11812,mammals,0
11813,mammals,0
11814,mammals,0
11815,mammals,0
11816,mammals,0
11817,mammals,0
11818,mammals,0
11819,mammals,0
11820,mammals,0
11821,mammals,0
11822,mammals,0
11823,mammals,0
11824,mammals,0
11825,mammals,0
11826,mammals,0
11827,mammals,0
11828,mammals,0
11829,mammals,0
11830,mammals,0
11831,mammals,0
11832,birds,0
11832,mammals,0
11833,birds,0
11833,mammals,0
11834,birds,0
11834,mammals,0
11835,birds,0
11835,mammals,0
11836,birds,0
11836,mammals,0
11845,birds,0
11845,mammals,0
11846,birds,0
11846,mammals,0
11847,birds,0
11847,mammals,0
11848,birds,0
11848,mammals,0
11849,birds,0
11849,mammals,0
11850,mammals,0
11851,birds,0
11851,mammals,0
11852,birds,0
11852,mammals,0
11853,birds,0
11853,mammals,0
12421,birds,0
12421,mammals,0
12422,birds,0
12422,mammals,0
12423,birds,0
12423,mammals,0
12424,birds,0
12424,mammals,0
12425,birds,0
12425,mammals,0
12426,birds,0
12426,mammals,0
12427,birds,0
12427,mammals,0
12428,birds,0
12428,mammals,0
12429,birds,0
12429,mammals,0
12430,birds,0
12430,mammals,0
12431,birds,0
12431,mammals,0
12432,birds,0
12432,mammals,0
12433,birds,0
12433,mammals,0
12434,birds,0
12434,mammals,0
12435,birds,0
12435,mammals,0
12436,birds,0
12436,mammals,0
12437,birds,0
12437,mammals,0
12438,birds,0
12438,mammals,0
12439,birds,0
12439,mammals,0
12440,birds,0
12440,mammals,0
12441,birds,0
12441,mammals,0
12442,birds,0
12442,mammals,0
12443,birds,0
12443,mammals,0
12444,birds,0
12444,mammals,0
12445,birds,0
12445,mammals,0
12446,birds,0
12446,mammals,0
12447,birds,0
12447,mammals,0
12448,birds,0
12448,mammals,0
12449,birds,0
12449,mammals,0
12450,birds,0
12450,mammals,0
12451,birds,0
12451,mammals,0
12452,birds,0
12452,mammals,0
12453,birds,0
12453,mammals,0
12454,birds,0
12454,mammals,0
12455,birds,0
12455,mammals,0
12456,birds,0
12456,mammals,0
12457,birds,0
12457,mammals,0
12458,birds,0
12458,mammals,0
12459,birds,0
12459,mammals,0
12460,birds,0
12460,mammals,0
12461,birds,0
12461,mammals,0
12462,birds,0
12462,mammals,0
12463,birds,0
12463,mammals,0
12464,birds,0
12464,mammals,0
12465,birds,0
12465,mammals,0
12466,birds,0
12466,mammals,0
12467,birds,0
12467,mammals,0
12475,mammals,0
12476,mammals,0
12477,mammals,0
12478,mammals,0
12479,mammals,0
12480,mammals,0
12481,mammals,0
12482,mammals,0
12483,mammals,0
12484,mammals,0
12485,mammals,0
12486,mammals,0
12487,mammals,0
12488,mammals,0
12489,mammals,0
12490,mammals,0
12491,mammals,0
12492,mammals,0
12493,mammals,0
12494,mammals,0
12495,mammals,0
12496,mammals,0
12497,mammals,0
12498,mammals,0
12499,mammals,0
12500,mammals,0
12501,mammals,0
12502,mammals,0
